stim,url,study_list
snowman_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e2MzBqF61jWx1Sl,D FILLER
snake_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6D5cS6vZjmtO4At,D FILLER
toaster_word,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7364pja5SF1B7A9,D FILLER
ashtray_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8eHT7Rdj3ykzpl3,A
bell_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3mELXj8xsL238fX,A
blouse_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cwn68rzKwjXkKpL,A
boot_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_25CAbnpXkcy5cmF,A
bottle_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_23kHhokU5eCCgzX,A
bread_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0r2snrzPBgh6X0p,A
candle_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVIhepThY9PWN8N,A
chair_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3C3wXo3hQhG4GS9,A
duck_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88oGimbRqxHNtlj,A
flute_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_djtNieNfQWowcvP,A
foot_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0kssngoeC1FEl2B,A
gorilla_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_djsh174g8L3BuRL,A
hand_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_43gBBwMjNAkNkXj,A
horse_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_50y3ZoCbWRu5Sfj,A
house_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6u5fzjRPInDl5pr,A
ladder_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_77ekAeqsC8ElbBH,A
leaf_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8rbIxOoz6PAAB5r,A
monkey_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0D3Jt51Tn8eT4K9,A
nail_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cSZC9Rl3XB5cIL3,A
orange_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5hzV80KOyOxFgP3,A
peacock_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d7k3RiFMtx9gVvf,A
pear_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9N9nGfcICcdEvrf,A
rooster_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_57m3K35Ox4kW69L,A
shirt_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9n2esKiWUQcMgvz,A
skunk_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3QSxcxUaOTvDQah,A
socks_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bscbdIcNSXStGVn,A
thimble_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6F5hebfPlOGS6gZ,A
thumb_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9yieplmXgLwWB5b,A
whistle_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_38DCcokQfUfIEQt,A
zebra_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9nW1fyvYkTidd6B,A
apple_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_40iyFKjeMEFGI2V,B
belt_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6eZGejSZ1oTZYLb,B
bicycle_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3pXAUvZH8GGuryd,B
cake_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0kYkUAHe4iODUl7,B
carrot_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9NPHizoUXKKZq9n,B
celery_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cHBZQRCpF56vKe1,B
cloud_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9MlvMC2KDmYHSe1,B
crown_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0GPnW8LCsUKNhxb,B
donkey_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9n3LhzB2bfJlCRL,B
door_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8k6x5JdAp4DY0yp,B
dresser_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1QZZhoZLVAtFF53,B
