Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
1,1619111946815,22/04/2021 17:19:06,1619111944886,1,22/04/2021 18:19:04,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x722,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1619111948409,22/04/2021 17:19:08,1619111946461,1,22/04/2021 18:19:06,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x722,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,1,1,1,Check,script,force_advance,1500.0800000000002,,,,,0,1,0,,,,,,FullscreenCheck,,,,,,,,,,,
3,1619111951110,22/04/2021 17:19:11,1619111949219,1,22/04/2021 18:19:09,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x864,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,5,1,1,Questions,buttonB,response_button_text,2716,,,40,1,1,0,0,,,,,1,MathQ,40,<h4>8 x 5 =</h4>,1,45,40,35,50,correct_1,total_1,incorrect_1,<h4>40</h4>
4,1619111952087,22/04/2021 17:19:12,1619111950203,1,22/04/2021 18:19:10,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x864,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,5,1,3,Correct,Zone7,timelimit_screen,1000.2200000000003,,,,,0,1,0,,,1,,1,MathQ,40,<h4>8 x 5 =</h4>,1,45,40,35,50,correct_1,total_1,incorrect_1,<h4>40</h4>
5,1619111952181,22/04/2021 17:19:12,1619111950216,1,22/04/2021 18:19:10,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x864,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,5,1,4,Blank,Zone1,timelimit_screen,16.659999999999854,,,,,0,1,0,,,1,,1,MathQ,40,<h4>8 x 5 =</h4>,1,45,40,35,50,correct_1,total_1,incorrect_1,<h4>40</h4>
6,1619111955541,22/04/2021 17:19:15,1619111953657,1,22/04/2021 18:19:13,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x864,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,15,2,1,Questions,buttonB,response_button_text,3411,,,32,1,1,0,0,,,,,1,MathQ,32,<h4>4 x 8 =</h4>,1,36,32,24,28,correct_1,total_1,incorrect_1,<h4>32</h4>
7,1619111956532,22/04/2021 17:19:16,1619111954651,1,22/04/2021 18:19:14,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x864,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,15,2,3,Correct,Zone7,timelimit_screen,1000.2199999999993,,,,,0,1,0,,,1,,1,MathQ,32,<h4>4 x 8 =</h4>,1,36,32,24,28,correct_1,total_1,incorrect_1,<h4>32</h4>
8,1619111956719,22/04/2021 17:19:16,1619111954668,1,22/04/2021 18:19:14,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x864,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,15,2,4,Blank,Zone1,timelimit_screen,16.659999999999854,,,,,0,1,0,,,1,,1,MathQ,32,<h4>4 x 8 =</h4>,1,36,32,24,28,correct_1,total_1,incorrect_1,<h4>32</h4>
9,1619111957840,22/04/2021 17:19:17,1619111955960,1,22/04/2021 18:19:15,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x864,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,7,3,1,Questions,buttonB,response_button_text,1264,,,49,1,1,0,0,,,,,1,MathQ,49,<h4>7 x 7 = </h4>,1,56,49,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
10,1619111958829,22/04/2021 17:19:18,1619111956950,1,22/04/2021 18:19:16,47727,10,task-y5ql,,12113870,14447,3658116,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 86.0,1536x864,1536x864,Test finished,Distractor,2,Consent Given,Consented,Test finished,blue,Blue,,,,,,,,,,,,,Distractor finished,,,,blue.order2__finished,,blue.order2,,,,,,,Distractor-Spreadsheet,Distractor-Spreadsheet,7,3,3,Correct,Zone7,timelimit_screen,999.880000000001,,,,,0,1,0,,,1,,1,MathQ,49,<h4>7 x 7 = </h4>,1,56,49,42,47,correct_1,total_1,incorrect_1,<h4>49</h4>
