Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,randomiser-qhxy,randomiser-vvav,checkpoint-8ver,checkpoint-46lq,checkpoint-ux2g,checkpoint-27wp,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
296,1619031412372,21/04/2021 18:56:52,1619031412363,1,21/04/2021 19:56:52,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,145,103,1,OldNew,new,response_button_image,895,,,new.png,1,1,0,0,,,,,2,red.teal.test,ashtray--photo.png,new.png
297,1619031413066,21/04/2021 18:56:53,1619031413042,1,21/04/2021 19:56:53,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,145,103,3,Fixation,fixation,fixation,493,,,,,0,1,0,,,,,2,red.teal.test,ashtray--photo.png,new.png
298,1619031414034,21/04/2021 18:56:54,1619031413961,1,21/04/2021 19:56:53,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,108,104,1,OldNew,old,response_button_image,861,,,old.png,1,0,1,0,,,,,2,red.teal.test,seal--photo-word.png,new.png
299,1619031414347,21/04/2021 18:56:54,1619031414343,1,21/04/2021 19:56:54,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,108,104,2,RFG,old,response_button_image,167,,,recollection.png,1,0,1,0,,,,,2,red.teal.test,seal--photo-word.png,new.png
300,1619031415049,21/04/2021 18:56:55,1619031415038,1,21/04/2021 19:56:55,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,108,104,3,Fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,red.teal.test,seal--photo-word.png,new.png
301,1619031415940,21/04/2021 18:56:55,1619031415928,1,21/04/2021 19:56:55,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,106,105,1,OldNew,old,response_button_image,827,,,old.png,1,0,1,0,,,,,2,red.teal.test,tomato--photo-word.png,new.png
302,1619031416283,21/04/2021 18:56:56,1619031416275,1,21/04/2021 19:56:56,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,106,105,2,RFG,old,response_button_image,130,,,recollection.png,1,0,1,0,,,,,2,red.teal.test,tomato--photo-word.png,new.png
303,1619031417019,21/04/2021 18:56:57,1619031416970,1,21/04/2021 19:56:56,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,106,105,3,Fixation,fixation,fixation,500,,,,,0,1,0,,,,,2,red.teal.test,tomato--photo-word.png,new.png
304,1619031417785,21/04/2021 18:56:57,1619031417770,1,21/04/2021 19:56:57,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,132,106,1,OldNew,new,response_button_image,729,,,new.png,1,1,0,0,,,,,2,red.teal.test,book--photo.png,new.png
305,1619031418476,21/04/2021 18:56:58,1619031418435,1,21/04/2021 19:56:58,47727,10,task-eo3t,,12088294,14025,3651612,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,810x1080,1080x810,Test finished,Red.Teal Test,3,Consent Given,Consented,Test finished,teal,Teal,,,,,,,,,,,,,Distractor finished,,teal.order2__finished,,,teal.order2,,,,,,,,red.teal__test,red.teal__test,132,106,3,Fixation,fixation,fixation,499,,,,,0,1,0,,,,,2,red.teal.test,book--photo.png,new.png
