Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
194,1591587902887,08/06/2020 03:45:02,1591587901562,-5,07/06/2020 22:45:01,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,30,72,3,Fixation,fixation,fixation,500.01499999998487,,,,0,1,0,,,,,2,test_A_grey,grey_line_guitar.png,new.png
195,1591587903953,08/06/2020 03:45:03,1591587902638,-5,07/06/2020 22:45:02,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,12,73,1,OldNew,old,response_button_image,1045.0549999950454,,old.png,1,0,1,0,,,,,2,test_A_grey,grey_line_belt.png,new.png
196,1591587904550,08/06/2020 03:45:04,1591587903244,-5,07/06/2020 22:45:03,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,12,73,2,RFG,old,response_button_image,406.4699999289587,,recollection.png,1,0,1,0,,,,,2,test_A_grey,grey_line_belt.png,new.png
197,1591587905259,08/06/2020 03:45:05,1591587903944,-5,07/06/2020 22:45:03,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,12,73,3,Fixation,fixation,fixation,499.95100000000093,,,,0,1,0,,,,,2,test_A_grey,grey_line_belt.png,new.png
198,1591587906327,08/06/2020 03:45:06,1591587905005,-5,07/06/2020 22:45:05,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,129,74,1,OldNew,new,response_button_image,1048.5950000584126,,new.png,1,1,0,0,,,,,2,test_A_grey,word_snake.png,new.png
199,1591587907020,08/06/2020 03:45:07,1591587905693,-5,07/06/2020 22:45:05,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,129,74,3,Fixation,fixation,fixation,499.9769999999844,,,,0,1,0,,,,,2,test_A_grey,word_snake.png,new.png
200,1591587907770,08/06/2020 03:45:07,1591587906472,-5,07/06/2020 22:45:06,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,13,75,1,OldNew,new,response_button_image,763.024999992922,,new.png,1,1,0,0,,,,,2,test_A_grey,grey_line_book.png,new.png
201,1591587908493,08/06/2020 03:45:08,1591587907161,-5,07/06/2020 22:45:07,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,13,75,3,Fixation,fixation,fixation,500.0659999999916,,,,0,1,0,,,,,2,test_A_grey,grey_line_book.png,new.png
202,1591587912694,08/06/2020 03:45:12,1591587911334,-5,07/06/2020 22:45:11,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,92,76,1,OldNew,old,response_button_image,4141.349999932572,,old.png,1,0,1,0,,,,,2,test_A_grey,grey_photo_thimble1.png,new.png
203,1591587914123,08/06/2020 03:45:14,1591587912764,-5,07/06/2020 22:45:12,19134,4,task-7jjs,,5463189,nzg4m4e6,1523185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.61,1920x1080,1920x1080,Test_Checkpoint,I-1. RFG_A_GREY,38,Grey_RFG,study_4_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,test_A_grey_spreadsheet,92,76,2,RFG,Zone1,response_button_image,1229.8500000033528,,familiarity.png,1,0,1,0,,,,,2,test_A_grey,grey_photo_thimble1.png,new.png
