Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
29,1601467524916,30/09/2020 12:05:24,1601467524805,2,30/09/2020 14:05:24,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,21,12,1,fixation,fixation,fixation,498.7800000000061,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_snail.png
30,1601467526889,30/09/2020 12:05:26,1601467526757,2,30/09/2020 14:05:26,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,21,12,2,stim_2_grey,Zone1,response_button_image,1933.8950000092154,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_snail.png
31,1601467527764,30/09/2020 12:05:27,1601467527665,2,30/09/2020 14:05:27,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,9,13,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_ladder.png
32,1601467530753,30/09/2020 12:05:30,1601467530638,2,30/09/2020 14:05:30,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,9,13,2,stim_2_grey,buttonB,response_button_image,2954.7350000066217,,photograph.png,1,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_ladder.png
33,1601467531660,30/09/2020 12:05:31,1601467531556,2,30/09/2020 14:05:31,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,52,14,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,word.png,word_camel.png
34,1601467533347,30/09/2020 12:05:33,1601467533161,2,30/09/2020 14:05:33,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,52,14,2,stim_2_grey,buttonA,response_button_image,1586.63499999966,,word.png,1,1,0,0,,,,,2,study_2_grey,word.png,word_camel.png
35,1601467534191,30/09/2020 12:05:34,1601467534082,2,30/09/2020 14:05:34,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,24,15,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_train.png
36,1601467537024,30/09/2020 12:05:37,1601467536900,2,30/09/2020 14:05:36,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,24,15,2,stim_2_grey,Zone1,response_button_image,2797.2050000098534,,line-drawing.png,1,1,0,0,,,,,2,study_2_grey,line-drawing.png,grey_line_train.png
37,1601467537946,30/09/2020 12:05:37,1601467537807,2,30/09/2020 14:05:37,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,61,16,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,word.png,word_pear.png
38,1601467539291,30/09/2020 12:05:39,1601467539190,2,30/09/2020 14:05:39,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,61,16,2,stim_2_grey,buttonA,response_button_image,1364.369999995688,,word.png,1,1,0,0,,,,,2,study_2_grey,word.png,word_pear.png
39,1601467540212,30/09/2020 12:05:40,1601467540103,2,30/09/2020 14:05:40,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,35,17,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,photograph.png,grey_photo_iron2.png
40,1601467541777,30/09/2020 12:05:41,1601467541639,2,30/09/2020 14:05:41,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,35,17,2,stim_2_grey,buttonB,response_button_image,1516.4550000044983,,photograph.png,1,1,0,0,,,,,2,study_2_grey,photograph.png,grey_photo_iron2.png
41,1601467542625,30/09/2020 12:05:42,1601467542529,2,30/09/2020 14:05:42,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,58,18,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,word.png,word_nail.png
42,1601467544062,30/09/2020 12:05:44,1601467543952,2,30/09/2020 14:05:43,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,58,18,2,stim_2_grey,buttonA,response_button_image,1403.96999999939,,word.png,1,1,0,0,,,,,2,study_2_grey,word.png,word_nail.png
43,1601467544968,30/09/2020 12:05:44,1601467544857,2,30/09/2020 14:05:44,10169,131,task-iwo1,,7016316,5f61bbe3c18cc915aac68b32,2028978,,complete,,5f747358f192150174e64e33,computer,Desktop or Laptop,Mac OS 10.15.7,Opera 70.0.3728.178,1280x800,1280x800,Test_Checkpoint,E-2. Study_2_GREY,4,,study_2_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,study_2_grey_spreadsheet,study_2_grey_spreadsheet,16,19,1,fixation,fixation,fixation,498.77999999999884,,,,0,1,0,,,,,2,study_2_grey,line-drawing.png,grey_line_pipe.png
