Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
42,1607031750803,03/12/2020 21:42:30,1607031750774,0,03/12/2020 21:42:30,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,31,7,3,Fixation,fixation,fixation,499.5630000000019,,,,,0,1,0,,,,,2,purple_test,chair--grey-word.png,new.png
43,1607031752085,03/12/2020 21:42:32,1607031752061,0,03/12/2020 21:42:32,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,60,8,1,OldNew,new,response_button_image,1256.929999915883,,,new.png,1,1,0,0,,,,,2,purple_test,horse--col-photo.png,new.png
44,1607031752803,03/12/2020 21:42:32,1607031752757,0,03/12/2020 21:42:32,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,60,8,3,Fixation,fixation,fixation,500.25500000000466,,,,,0,1,0,,,,,2,purple_test,horse--col-photo.png,new.png
45,1607031753928,03/12/2020 21:42:33,1607031753910,0,03/12/2020 21:42:33,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,78,9,1,OldNew,old,response_button_image,1137.9050000105053,,,old.png,1,0,1,0,,,,,2,purple_test,mouse--col-drawing.png,new.png
46,1607031754600,03/12/2020 21:42:34,1607031754579,0,03/12/2020 21:42:34,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,78,9,2,RFG,old,response_button_image,447.6650001015514,,,recollection.png,1,0,1,0,,,,,2,purple_test,mouse--col-drawing.png,new.png
47,1607031755350,03/12/2020 21:42:35,1607031755272,0,03/12/2020 21:42:35,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,78,9,3,Fixation,fixation,fixation,499.4380000000019,,,,,0,1,0,,,,,2,purple_test,mouse--col-drawing.png,new.png
48,1607031756360,03/12/2020 21:42:36,1607031756340,0,03/12/2020 21:42:36,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,116,10,1,OldNew,old,response_button_image,1036.989999935031,,,old.png,1,0,1,0,,,,,2,purple_test,table--col-photo.png,new.png
49,1607031757219,03/12/2020 21:42:37,1607031756972,0,03/12/2020 21:42:36,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,116,10,2,RFG,old,response_button_image,418.73999999370426,,,recollection.png,1,0,1,0,,,,,2,purple_test,table--col-photo.png,new.png
50,1607031757688,03/12/2020 21:42:37,1607031757655,0,03/12/2020 21:42:37,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,116,10,3,Fixation,fixation,fixation,499.3400000000038,,,,,0,1,0,,,,,2,purple_test,table--col-photo.png,new.png
51,1607031759594,03/12/2020 21:42:39,1607031759570,0,03/12/2020 21:42:39,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,16,11,1,OldNew,old,response_button_image,1898.9150000270456,,,old.png,1,0,1,0,,,,,2,purple_test,bear--distinctive-word.png,new.png
