Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
84,1610015456805,07/01/2021 10:30:56,1610015452765,0,07/01/2021 10:30:52,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,4,39,2,study_stim,buttonA,response_button_image,1224.824999999997,,,word.png,1,1,0,0,,,,,2,green_B_study,word.png,flute--grey-word.png
85,1610015457742,07/01/2021 10:30:57,1610015453694,0,07/01/2021 10:30:53,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,21,40,1,fixation,fixation,fixation,493.502999999997,,,,,0,1,0,,,,,2,green_B_study,word.png,jacket--distinctive-word.png
86,1610015459165,07/01/2021 10:30:59,1610015455116,0,07/01/2021 10:30:55,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,21,40,2,study_stim,buttonA,response_button_image,1414.3350000001665,,,word.png,1,1,0,0,,,,,2,green_B_study,word.png,jacket--distinctive-word.png
87,1610015460092,07/01/2021 10:31:00,1610015456041,0,07/01/2021 10:30:56,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,5,41,1,fixation,fixation,fixation,493.5,,,,,0,1,0,,,,,2,green_B_study,word.png,trumpet--grey-word.png
88,1610015461202,07/01/2021 10:31:01,1610015457062,0,07/01/2021 10:30:57,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,5,41,2,study_stim,buttonA,response_button_image,1013.0299999998533,,,word.png,1,1,0,0,,,,,2,green_B_study,word.png,trumpet--grey-word.png
89,1610015462030,07/01/2021 10:31:02,1610015457989,0,07/01/2021 10:30:57,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,55,42,1,fixation,fixation,fixation,493.50599999999395,,,,,0,1,0,,,,,2,green_B_study,photo.png,socks--col-photo.png
90,1610015463436,07/01/2021 10:31:03,1610015459388,0,07/01/2021 10:30:59,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,55,42,2,study_stim,Zone1,response_button_image,1392.080000000089,,,photo.png,1,1,0,0,,,,,2,green_B_study,photo.png,socks--col-photo.png
91,1610015464343,07/01/2021 10:31:04,1610015460309,0,07/01/2021 10:31:00,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,31,43,1,fixation,fixation,fixation,493.5069999999978,,,,,0,1,0,,,,,2,green_B_study,drawing.png,anchor--grey-drawing.png
92,1610015467375,07/01/2021 10:31:07,1610015463333,0,07/01/2021 10:31:03,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,31,43,2,study_stim,Zone2,response_button_image,3015.824999999939,,,drawing.png,1,1,0,0,,,,,2,green_B_study,drawing.png,anchor--grey-drawing.png
93,1610015468289,07/01/2021 10:31:08,1610015464257,0,07/01/2021 10:31:04,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,63,44,1,fixation,fixation,fixation,493.50800000000163,,,,,0,1,0,,,,,2,green_B_study,photo.png,monkey--col-photo.png
94,1610015469947,07/01/2021 10:31:09,1610015465901,0,07/01/2021 10:31:05,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,63,44,2,study_stim,Zone1,response_button_image,1636.3299999998417,,,photo.png,1,1,0,0,,,,,2,green_B_study,photo.png,monkey--col-photo.png
95,1610015470869,07/01/2021 10:31:10,1610015466832,0,07/01/2021 10:31:06,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,17,45,1,fixation,fixation,fixation,493.502999999997,,,,,0,1,0,,,,,2,green_B_study,word.png,orange--distinctive-word.png
96,1610015472322,07/01/2021 10:31:12,1610015468203,0,07/01/2021 10:31:08,37334,2,task-qamv,,8950495,5f04f45c036ba27e7226692a,2726261,,complete,,5ff6e0edf904862ad2cdbb1f,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,Test finished,Green B - Study,2,Consent Given,Consented,Test finished,green_group,Green,,green_B,,,,,,Green B: study finished,,,,,Distractor finished,,,,,,,GreenB-Study-Spreadsheet,GreenB-Study-Spreadsheet,17,45,2,study_stim,buttonA,response_button_image,1363.979999999865,,,word.png,1,1,0,0,,,,,2,green_B_study,word.png,orange--distinctive-word.png
