Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
35,1607069773149,04/12/2020 08:16:13,1607069773389,0,04/12/2020 08:16:13,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,64,5,3,Fixation,fixation,fixation,500.3419999999969,,,,,0,1,0,,,,,2,orange_test,kettle--grey-drawing.png,new.png
36,1607069774149,04/12/2020 08:16:14,1607069774396,0,04/12/2020 08:16:14,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,60,6,1,OldNew,new,response_button_image,957.8650000039488,,,new.png,1,1,0,0,,,,,2,orange_test,horse--grey-photo.png,new.png
37,1607069774836,04/12/2020 08:16:14,1607069775090,0,04/12/2020 08:16:15,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,60,6,3,Fixation,fixation,fixation,500.387999999999,,,,,0,1,0,,,,,2,orange_test,horse--grey-photo.png,new.png
38,1607069776172,04/12/2020 08:16:16,1607069776419,0,04/12/2020 08:16:16,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,81,7,1,OldNew,old,response_button_image,1275.3449999727309,,,old.png,1,0,1,0,,,,,2,orange_test,nose--grey-photo.png,new.png
39,1607069778083,04/12/2020 08:16:18,1607069778344,0,04/12/2020 08:16:18,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,81,7,2,RFG,Zone1,response_button_image,1691.2500001490116,,,familiarity.png,1,0,1,0,,,,,2,orange_test,nose--grey-photo.png,new.png
40,1607069778771,04/12/2020 08:16:18,1607069779027,0,04/12/2020 08:16:19,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,81,7,3,Fixation,fixation,fixation,500.3899999999994,,,,,0,1,0,,,,,2,orange_test,nose--grey-photo.png,new.png
41,1607069780389,04/12/2020 08:16:20,1607069780644,0,04/12/2020 08:16:20,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,120,8,1,OldNew,new,response_button_image,1556.8949999287724,,,new.png,1,1,0,0,,,,,2,orange_test,toaster--grey-word.png,new.png
42,1607069781090,04/12/2020 08:16:21,1607069781345,0,04/12/2020 08:16:21,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,120,8,3,Fixation,fixation,fixation,500.4579999999987,,,,,0,1,0,,,,,2,orange_test,toaster--grey-word.png,new.png
43,1607069782970,04/12/2020 08:16:22,1607069783168,0,04/12/2020 08:16:23,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,43,9,1,OldNew,new,response_button_image,1761.9699998758733,,,new.png,1,1,0,0,,,,,2,orange_test,duck--grey-word.png,new.png
44,1607069783611,04/12/2020 08:16:23,1607069783864,0,04/12/2020 08:16:23,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,43,9,3,Fixation,fixation,fixation,500.3150000000023,,,,,0,1,0,,,,,2,orange_test,duck--grey-word.png,new.png
