Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,question,ShowProgressBar,ans1,ans2,ans3,ans4,correct,total,incorrect,Formatted-answer
54,1591836041807,11/06/2020 00:40:41,1591836040134,-5,10/06/2020 19:40:40,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,13,18,1,Questions,buttonA,response_button_text,972.6200000000026,,42,1,1,0,0,,,,,1,MathQ,42,<h4>7 x 6 =</h4>,1,42,49,36,44,correct_1,total_1,incorrect_1,<h4>42</h4>
55,1591836042080,11/06/2020 00:40:42,1591836041122,-5,10/06/2020 19:40:41,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,13,18,3,Correct,Zone7,timelimit_screen,1000.471000000005,,,,0,1,0,,,1,,1,MathQ,42,<h4>7 x 6 =</h4>,1,42,49,36,44,correct_1,total_1,incorrect_1,<h4>42</h4>
56,1591836042080,11/06/2020 00:40:42,1591836041141,-5,10/06/2020 19:40:41,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,13,18,4,Blank,Zone1,timelimit_screen,16.664999999993597,,,,0,1,0,,,1,,1,MathQ,42,<h4>7 x 6 =</h4>,1,42,49,36,44,correct_1,total_1,incorrect_1,<h4>42</h4>
57,1591836042372,11/06/2020 00:40:42,1591836042157,-5,10/06/2020 19:40:42,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,9,19,1,Questions,buttonA,response_button_text,911.1199999999881,,20,1,1,0,0,,,,,1,MathQ,20,<h4>5 x 4 =</h4>,1,20,15,25,16,correct_1,total_1,incorrect_1,<h4>20</h4>
58,1591836043260,11/06/2020 00:40:43,1591836043139,-5,10/06/2020 19:40:43,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,9,19,3,Correct,Zone7,timelimit_screen,1000.4360000000015,,,,0,1,0,,,1,,1,MathQ,20,<h4>5 x 4 =</h4>,1,20,15,25,16,correct_1,total_1,incorrect_1,<h4>20</h4>
59,1591836043557,11/06/2020 00:40:43,1591836043164,-5,10/06/2020 19:40:43,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,9,19,4,Blank,Zone1,timelimit_screen,16.665000000000873,,,,0,1,0,,,1,,1,MathQ,20,<h4>5 x 4 =</h4>,1,20,15,25,16,correct_1,total_1,incorrect_1,<h4>20</h4>
60,1591836044470,11/06/2020 00:40:44,1591836044322,-5,10/06/2020 19:40:44,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,12,20,1,Questions,buttonA,response_button_text,1061.8650000001217,,27,1,1,0,0,,,,,1,MathQ,27,<h4>9 x 3 =</h4>,1,27,21,30,28,correct_1,total_1,incorrect_1,<h4>27</h4>
61,1591836045423,11/06/2020 00:40:45,1591836045307,-5,10/06/2020 19:40:45,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,12,20,3,Correct,Zone7,timelimit_screen,1000.5220000000045,,,,0,1,0,,,1,,1,MathQ,27,<h4>9 x 3 =</h4>,1,27,21,30,28,correct_1,total_1,incorrect_1,<h4>27</h4>
62,1591836045595,11/06/2020 00:40:45,1591836045329,-5,10/06/2020 19:40:45,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,Distractor__Spreadsheet,12,20,4,Blank,Zone1,timelimit_screen,16.665000000000873,,,,0,1,0,,,1,,1,MathQ,27,<h4>9 x 3 =</h4>,1,27,21,30,28,correct_1,total_1,incorrect_1,<h4>27</h4>
63,1591836045595,11/06/2020 00:40:45,1591836045332,-5,10/06/2020 19:40:45,19134,4,task-qbcg,,5556769,fu1ypes9,1549998,,complete,,,computer,Desktop or Laptop,Chromium OS 12739.111.0,Chrome 80.0.3987.162,1517x853,1518x853,Test_Checkpoint,F-2. Distractor__Task,26,Grey_RFBG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,,,END TASK,,,,,51267,,,,0,1,0,,,,,,,,,,,,,,,,,
