Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
43,1601548293185,01/10/2020 10:31:33,1601548293132,1,01/10/2020 11:31:33,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,47,19,1,fixation,fixation,fixation,500.5810000000056,,,,0,1,0,,,,,2,study_5_grey,word.png,word_apple.png
44,1601548293969,01/10/2020 10:31:33,1601548293923,1,01/10/2020 11:31:33,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,47,19,2,stim_5_grey,buttonA,response_button_image,781.444999971427,,word.png,1,1,0,0,,,,,2,study_5_grey,word.png,word_apple.png
45,1601548294897,01/10/2020 10:31:34,1601548294850,1,01/10/2020 11:31:34,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,19,20,1,fixation,fixation,fixation,500.6419999999998,,,,0,1,0,,,,,2,study_5_grey,line-drawing.png,grey_line_skirt.png
46,1601548296117,01/10/2020 10:31:36,1601548296067,1,01/10/2020 11:31:36,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,19,20,2,stim_5_grey,Zone1,response_button_image,1208.1099999486469,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_skirt.png
47,1601548297023,01/10/2020 10:31:37,1601548296986,1,01/10/2020 11:31:36,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,8,21,1,fixation,fixation,fixation,500.2979999999952,,,,0,1,0,,,,,2,study_5_grey,line-drawing.png,grey_line_kettle.png
48,1601548298025,01/10/2020 10:31:38,1601548297971,1,01/10/2020 11:31:37,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,8,21,2,stim_5_grey,Zone1,response_button_image,975.2349999616854,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_kettle.png
49,1601548298937,01/10/2020 10:31:38,1601548298888,1,01/10/2020 11:31:38,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,9,22,1,fixation,fixation,fixation,500.4499999999971,,,,0,1,0,,,,,2,study_5_grey,line-drawing.png,grey_line_kite.png
50,1601548299860,01/10/2020 10:31:39,1601548299819,1,01/10/2020 11:31:39,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,9,22,2,stim_5_grey,Zone1,response_button_image,923.4599999617785,,line-drawing.png,1,1,0,0,,,,,2,study_5_grey,line-drawing.png,grey_line_kite.png
51,1601548300782,01/10/2020 10:31:40,1601548300740,1,01/10/2020 11:31:40,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,44,23,1,fixation,fixation,fixation,500.497000000003,,,,0,1,0,,,,,2,study_5_grey,photograph.png,grey_photo_whistle1.png
52,1601548301707,01/10/2020 10:31:41,1601548301651,1,01/10/2020 11:31:41,10169,131,task-6xh1,,7030668,5c76ee0998566f00018eeb1f,2033366,,complete,,5f75af71da765e243760ccca,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1920x1080,1920x1080,Test_Checkpoint,E-5. Study_5_GREY,4,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFG,,,,,,study_5_grey_spreadsheet,study_5_grey_spreadsheet,44,23,2,stim_5_grey,buttonB,response_button_image,901.4549999847077,,photograph.png,1,1,0,0,,,,,2,study_5_grey,photograph.png,grey_photo_whistle1.png
