Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
47,1583967742419,11/03/2020 23:02:22,1583967741279,0,11/03/2020 23:02:21,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,117,10,1,OldNew,new,response_button_image,1104.3249999638647,,new.png,1,1,0,0,,,,,2,test_B_grey,word_glasses.png,new.png
48,1583967743122,11/03/2020 23:02:23,1583967741954,0,11/03/2020 23:02:21,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,117,10,3,Fixation,fixation,fixation,499.8949999999968,,,,0,1,0,,,,,2,test_B_grey,word_glasses.png,new.png
49,1583967745157,11/03/2020 23:02:25,1583967744018,0,11/03/2020 23:02:24,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,28,11,1,OldNew,new,response_button_image,1999.2050000000745,,new.png,1,1,0,0,,,,,2,test_B_grey,grey_line_peach.png,new.png
50,1583967745829,11/03/2020 23:02:25,1583967744687,0,11/03/2020 23:02:24,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,28,11,3,Fixation,fixation,fixation,499.8990000000049,,,,0,1,0,,,,,2,test_B_grey,grey_line_peach.png,new.png
51,1583967747079,11/03/2020 23:02:27,1583967745934,0,11/03/2020 23:02:25,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,72,12,1,OldNew,old,response_button_image,1180.5800000438467,,old.png,1,0,1,0,,,,,2,test_B_grey,grey_photo_guitar1.png,new.png
52,1583967748471,11/03/2020 23:02:28,1583967747330,0,11/03/2020 23:02:27,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,72,12,2,RFBG,Zone1,response_button_image,1137.8499999409541,,familiarity.png,1,0,1,0,,,,,2,test_B_grey,grey_photo_guitar1.png,new.png
53,1583967749150,11/03/2020 23:02:29,1583967748003,0,11/03/2020 23:02:28,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,72,12,3,Fixation,fixation,fixation,499.96600000000035,,,,0,1,0,,,,,2,test_B_grey,grey_photo_guitar1.png,new.png
54,1583967750283,11/03/2020 23:02:30,1583967749149,0,11/03/2020 23:02:29,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,107,13,1,OldNew,old,response_button_image,1087.859999970533,,old.png,1,0,1,0,,,,,2,test_B_grey,word_carrot.png,new.png
55,1583967751049,11/03/2020 23:02:31,1583967749902,0,11/03/2020 23:02:29,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,107,13,2,RFBG,old,response_button_image,510.719999903813,,recollection.png,1,0,1,0,,,,,2,test_B_grey,word_carrot.png,new.png
56,1583967751737,11/03/2020 23:02:31,1583967750587,0,11/03/2020 23:02:30,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,107,13,3,Fixation,fixation,fixation,499.96199999999953,,,,0,1,0,,,,,2,test_B_grey,word_carrot.png,new.png
