Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,correct_answer,stim
22,1601548375648,01/10/2020 10:32:55,1601548380027,10,01/10/2020 20:33:00,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,8,8,1,fixation,fixation,fixation,499.96399999999994,,,,0,1,0,,,,,2,study_1_grey,line-drawing.png,grey_line_cherry.png
23,1601548377165,01/10/2020 10:32:57,1601548381457,10,01/10/2020 20:33:01,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,8,8,2,stim_1_grey,Zone1,response_button_image,1332.2100001387298,,line-drawing.png,1,1,0,0,,,,,2,study_1_grey,line-drawing.png,grey_line_cherry.png
24,1601548384028,01/10/2020 10:33:04,1601548388428,10,01/10/2020 20:33:08,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,33,9,1,fixation,fixation,fixation,500.05500000000757,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_deer2.png
25,1601548386906,01/10/2020 10:33:06,1601548389894,10,01/10/2020 20:33:09,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,33,9,2,stim_1_grey,buttonB,response_button_image,1371.5299998875707,,photograph.png,1,1,0,0,,,,,2,study_1_grey,photograph.png,grey_photo_deer2.png
26,1601548388722,01/10/2020 10:33:08,1601548392777,10,01/10/2020 20:33:12,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,10,10,1,fixation,fixation,fixation,500.0309999999881,,,,0,1,0,,,,,2,study_1_grey,line-drawing.png,grey_line_comb.png
27,1601548389868,01/10/2020 10:33:09,1601548394234,10,01/10/2020 20:33:14,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,10,10,2,stim_1_grey,Zone1,response_button_image,1364.449999993667,,line-drawing.png,1,1,0,0,,,,,2,study_1_grey,line-drawing.png,grey_line_comb.png
28,1601548390898,01/10/2020 10:33:10,1601548395127,10,01/10/2020 20:33:15,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,18,11,1,fixation,fixation,fixation,500.0420000000013,,,,0,1,0,,,,,2,study_1_grey,line-drawing.png,grey_line_socks.png
29,1601548392494,01/10/2020 10:33:12,1601548396885,10,01/10/2020 20:33:16,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,18,11,2,stim_1_grey,Zone1,response_button_image,1661.5900001488626,,line-drawing.png,1,1,0,0,,,,,2,study_1_grey,line-drawing.png,grey_line_socks.png
30,1601548402954,01/10/2020 10:33:22,1601548407323,10,01/10/2020 20:33:27,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,,,,,,,,LOADING DELAY,,A loading delay of more than 10s was detected.,,0,1,0,,,,,,,,
31,1601548405929,01/10/2020 10:33:25,1601548410244,10,01/10/2020 20:33:30,10169,131,task-hqih,,7030721,5d2667977202d70001c2d4fe,2033369,,complete,,5f75af60d1e4832468527ab1,computer,Desktop or Laptop,Windows 10,Chrome 85.0.4183.121,1366x768,1366x768,Test_Checkpoint,E-1. Study_1_GREY,100,Grey_RFG,study_1_grey,Consent Given,Consented,Experiment3__Greyscale,A_Checkpoint_Grey,Test_Checkpoint,,,,,,,,,,,,study_1_grey_spreadsheet,study_1_grey_spreadsheet,28,12,1,fixation,fixation,fixation,500.17200000000594,,,,0,1,0,,,,,2,study_1_grey,photograph.png,grey_photo_bear2.png
