Trial,Subject,Phase,Stimulus,Stimulus Type,Probe,Probe Type,Response,Accuracy,RT
67,PSE-130,Test,none,BW_Picture,barn,New,no,1,2996
73,PSE-130,Test,none,BW_Picture,dog,New,no,1,3412
78,PSE-130,Test,none,BW_Picture,bread,New,no,1,3524
94,PSE-130,Test,none,BW_Picture,car,New,no,1,3722
99,PSE-130,Test,none,BW_Picture,snail,New,no,1,3346
100,PSE-130,Test,none,BW_Picture,nose,New,no,1,2196
101,PSE-130,Test,none,BW_Picture,finger,New,no,1,2818
111,PSE-130,Test,none,BW_Picture,ear,New,no,1,10295
55,PSE-130,Test,none,BW_Picture,train,Old,no,0,16783
58,PSE-130,Test,none,BW_Picture,box,Old,yes,1,1692
64,PSE-130,Test,none,BW_Picture,owl,Old,yes,1,1617
71,PSE-130,Test,none,BW_Picture,tiger,Old,yes,1,1621
79,PSE-130,Test,none,BW_Picture,kite,Old,yes,1,1563
81,PSE-130,Test,none,BW_Picture,corn,Old,yes,1,1531
90,PSE-130,Test,none,BW_Picture,cap,Old,yes,1,1908
102,PSE-130,Test,none,BW_Picture,glove,Old,yes,1,3640
118,PSE-130,Test,none,BW_Picture,lightbulb,Old,yes,1,1719
119,PSE-130,Test,none,BW_Picture,giraffe,Old,yes,1,1590
42,PSE-130,Test,none,BW_Word,squirrel,New,no,1,3845
44,PSE-130,Test,none,BW_Word,bed,New,no,1,3573
53,PSE-130,Test,none,BW_Word,mitten,New,no,1,4604
62,PSE-130,Test,none,BW_Word,candle,New,yes,0,2672
82,PSE-130,Test,none,BW_Word,well,New,no,1,3265
86,PSE-130,Test,none,BW_Word,pear,New,no,1,2726
92,PSE-130,Test,none,BW_Word,guitar,New,no,1,1665
108,PSE-130,Test,none,BW_Word,clock,New,no,1,3416
110,PSE-130,Test,none,BW_Word,button,New,no,1,2500
113,PSE-130,Test,none,BW_Word,sailboat,New,no,1,3576
43,PSE-130,Test,none,BW_Word,cake,Old,yes,1,3153
45,PSE-130,Test,none,BW_Word,snake,Old,yes,1,1861
65,PSE-130,Test,none,BW_Word,clown,Old,yes,1,1766
75,PSE-130,Test,none,BW_Word,table,Old,yes,1,2259
80,PSE-130,Test,none,BW_Word,trumpet,Old,yes,1,1525
93,PSE-130,Test,none,BW_Word,pitcher,Old,no,0,2271
107,PSE-130,Test,none,BW_Word,chair,Old,yes,1,2079
112,PSE-130,Test,none,BW_Word,truck,Old,no,0,2514
116,PSE-130,Test,none,BW_Word,church,Old,no,0,2014
120,PSE-130,Test,none,BW_Word,rabbit,Old,no,0,2554
47,PSE-130,Test,none,Colour_Picture,sandwich,New,no,1,4551
56,PSE-130,Test,none,Colour_Picture,belt,New,no,1,4357
68,PSE-130,Test,none,Colour_Picture,harp,New,no,1,2669
70,PSE-130,Test,none,Colour_Picture,house,New,no,1,4294
74,PSE-130,Test,none,Colour_Picture,dresser,New,no,1,16026
85,PSE-130,Test,none,Colour_Picture,celery,New,no,1,4750
91,PSE-130,Test,none,Colour_Picture,glass,New,no,1,3798
104,PSE-130,Test,none,Colour_Picture,sweater,New,no,1,3891
105,PSE-130,Test,none,Colour_Picture,pepper,New,no,1,2515
115,PSE-130,Test,none,Colour_Picture,goat,New,no,1,3315
41,PSE-130,Test,none,Colour_Picture,desk,Old,yes,1,2387
60,PSE-130,Test,none,Colour_Picture,dress,Old,yes,1,1943
63,PSE-130,Test,none,Colour_Picture,monkey,Old,yes,1,1555
69,PSE-130,Test,none,Colour_Picture,eagle,Old,yes,1,1882
76,PSE-130,Test,none,Colour_Picture,flower,Old,yes,1,1555
84,PSE-130,Test,none,Colour_Picture,shirt,Old,yes,1,1957
97,PSE-130,Test,none,Colour_Picture,stove,Old,yes,1,1739
98,PSE-130,Test,none,Colour_Picture,bus,Old,yes,1,1487
103,PSE-130,Test,none,Colour_Picture,doll,Old,yes,1,1411
114,PSE-130,Test,none,Colour_Picture,bear,Old,yes,1,1505
50,PSE-130,Test,none,Colour_Word,tomato,New,no,1,4419
51,PSE-130,Test,none,Colour_Word,boot,New,no,1,3022
54,PSE-130,Test,none,Colour_Word,axe,New,no,1,4376
57,PSE-130,Test,none,Colour_Word,alligator,New,no,1,10290
61,PSE-130,Test,none,Colour_Word,fox,New,no,1,4079
88,PSE-130,Test,none,Colour_Word,helicopter,New,no,1,4032
89,PSE-130,Test,none,Colour_Word,bell,New,no,1,2216
95,PSE-130,Test,none,Colour_Word,lemon,New,no,1,2096
96,PSE-130,Test,none,Colour_Word,tortoise,New,no,1,2644
117,PSE-130,Test,none,Colour_Word,penguin,New,no,1,3889
46,PSE-130,Test,none,Colour_Word,balloon,Old,yes,1,2908
